# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e-04
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
479000          	1.95055456e+01	9.75406809e+00	9.75147751e+00	-2.59058270e-02	-4.68257590e+00	4.65667007e+00	-4.66962299e+00	1.29529135e-03	9.75277280e-01	9.81076665e-18	9.75277280e-01	-9.75277280e-01
480000          	2.28232985e+01	1.14653051e+01	1.13579934e+01	-1.07311680e+00	-3.00983321e+00	1.93671641e+00	-2.47327481e+00	5.36558400e-02	1.14116492e+00	1.27756966e-17	1.14116492e+00	-1.14116492e+00
481000          	2.28512574e+01	1.14436627e+01	1.14075947e+01	-3.60679591e-01	1.51459969e+00	-1.87527928e+00	1.69493949e+00	1.80339796e-02	1.14256287e+00	1.12513452e-17	1.14256287e+00	-1.14256287e+00
482000          	1.88732333e+01	9.36308440e+00	9.51014890e+00	1.47064505e+00	-1.09210842e+00	2.56275347e+00	-1.82743094e+00	-7.35322525e-02	9.43661665e-01	1.01557153e-17	9.43661665e-01	-9.43661665e-01
483000          	2.39343177e+01	1.19691071e+01	1.19652106e+01	-3.89653483e-02	4.09900045e+00	-4.13796579e+00	4.11848312e+00	1.94826742e-03	1.19671588e+00	5.55973931e-18	1.19671588e+00	-1.19671588e+00
484000          	2.01245272e+01	1.00282686e+01	1.00962586e+01	6.79899371e-01	-8.03486765e+00	8.71476702e+00	-8.37481733e+00	-3.39949685e-02	1.00622636e+00	8.84370013e-18	1.00622636e+00	-1.00622636e+00
485000          	2.21593653e+01	1.11064030e+01	1.10529623e+01	-5.34406627e-01	-6.40439722e+00	5.86999059e+00	-6.13719390e+00	2.67203314e-02	1.10796826e+00	1.27376776e-17	1.10796826e+00	-1.10796826e+00
486000          	2.34059383e+01	1.16917559e+01	1.17141824e+01	2.24264432e-01	-2.92586483e+00	3.15012926e+00	-3.03799705e+00	-1.12132216e-02	1.17029691e+00	1.20119699e-17	1.17029691e+00	-1.17029691e+00
487000          	1.85842953e+01	9.34776217e+00	9.23653311e+00	-1.11229058e+00	1.21727536e+01	-1.32850442e+01	1.27288989e+01	5.56145288e-02	9.29214764e-01	9.99124251e-18	9.29214764e-01	-9.29214764e-01
488000          	2.37033581e+01	1.18621858e+01	1.18411723e+01	-2.10135670e-01	5.37379733e+00	-5.58393299e+00	5.47886516e+00	1.05067835e-02	1.18516790e+00	5.48638507e-18	1.18516790e+00	-1.18516790e+00
